ID|FirstRegistrationAge|LastRegistrationAge|TotalNoRecords|AverageNoRecords
1109|12|13|1|
1110|3|3|11|11
1111|5|5|32|32
1112|5|4|34|17
1113|6|6|13|13
1114|5|4|25|12.5
1115|9|10|2|
1116|10|10|3|3
1117|6|6|4|4
1118|8|8|8|8
1119|9|8|6|3
1120|3|4|4|
1121|9|1|36|4
1122|5|1|55|11
1123|5|2|24|6
1124|10|6|34|6.8
1125|2|1|62|31
1126|1|1|23|23
1127|8|9|1|
1128|0|1|13|
1129|9|10|3|
1130|6|3|51|12.75
1131|2|1|40|20
1132|5|5|17|17
1133|4|4|11|11
1134|9|10|1|
1135|12|13|4|
1136|4|4|17|17
1137|7|3|64|12.8
1138|4|5|4|
1139|2|2|10|10
1140|5|5|5|5
1141|5|2|18|4.5
1142|7|1|132|18.857142857143
1143|9|9|4|4
1144|7|7|9|9
1145|5|6|6|
1146|4|3|9|4.5
1147|9|7|4|1.3333333333333
1148|9|1|53|5.8888888888889
1149|3|3|14|14
1150|5|4|29|14.5
1151|12|1|120|10
1152|7|3|54|10.8
1153|2|1|19|9.5
1154|10|9|12|6
1155|0|1|5|
1156|0|1|12|
1157|4|4|12|12
1158|10|9|2|1
1159|9|10|1|
1160|10|8|8|2.6666666666667
1161|12|13|1|
1162|9|10|1|
1163|5|5|8|8
1164|12|13|3|
1165|4|1|75|18.75
1166|12|11|2|1
1167|12|10|6|2
1168|8|1|63|7.875
1169|5|1|43|8.6
1170|4|5|8|
1171|7|8|1|
1172|3|1|97|32.333333333333
1173|6|1|83|13.833333333333
1174|1|1|18|18
1175|12|13|3|
1176|4|5|9|
1177|12|13|3|
1178|12|13|2|
1179|7|5|49|16.333333333333
1180|8|9|7|
1181|3|3|23|23
1182|8|9|1|
1183|5|5|10|10
1184|7|1|40|5.7142857142857
1185|5|5|13|13
1186|12|9|7|1.75
1187|2|1|37|18.5
1188|12|1|24|2
1189|5|5|16|16
1190|0|1|8|
1191|7|3|20|4
1192|5|6|12|
1193|3|4|10|
1194|9|9|4|4
1195|8|8|9|9
1196|5|4|15|7.5
1197|12|7|11|1.8333333333333
1198|6|6|5|5
1199|8|7|22|11
1200|6|1|33|5.5
1201|1|1|19|19
1202|9|3|39|5.5714285714286
1203|2|3|11|
1204|6|6|9|9
1205|9|8|7|3.5
1206|12|9|2|0.5
1207|7|1|100|14.285714285714
1208|7|7|8|8
1209|0|1|3|
1210|10|9|6|3
1211|2|1|10|5
1212|12|13|1|
1213|6|6|28|28
1214|9|1|84|9.3333333333333
1215|10|8|3|1
1216|8|8|10|10
1217|12|10|5|1.6666666666667
1218|7|6|9|4.5
1219|2|1|12|6
1220|8|7|7|3.5
1221|9|1|217|24.111111111111
1222|2|1|19|9.5
1223|0|1|9|
1224|10|7|5|1.25
1225|8|8|9|9
1226|5|1|44|8.8
1227|5|5|13|13
1228|6|2|11|2.2
1229|5|6|5|
1230|10|9|4|2
1231|6|6|8|8
1232|10|9|4|2
1233|1|1|27|27
